reviewtype,cycle_bucket,n_reviews,n_reviewers,n_turn,median_days,p75_days,p90_days,correction_rate
Ordinance/Structural,3+,893,40,877,5,9,15,27.1
Addressing,1 (initial),1662,14,1641,8,13,17,46.9
Tree,2,801,11,778,15,22,29,42.3
Conveyance,1 (initial),38,2,20,0,28.5,35.7,34.2
Side Sewer Conflict,2,24,8,16,1,4.5,7.5,20.8
Shoreline,1 (initial),11,1,11,9,16.5,28,54.5
ECA Wildlife,1 (initial),20,2,1,9,9,9,50
Zoning,2,1735,40,1734,8,13,17,63.1
Shoring - Right of Way,2,32,2,29,20,24,27.8,21.9
Ordinance,2,212,39,211,8,15,26,59.4
Mechanical,2,21,3,20,14,18.8,32.2,57.1
Policy,3+,2,2,2,11.5,12.8,13.5,0
Floodplain,3+,2,2,2,14,15,15.6,0
Ordinance/Structural,1 (initial),1481,43,1452,5,9,18,83.9
Shoreline,3+,9,1,8,21.5,27.5,34.4,22.2
ECA Wildlife,3+,2,1,2,8.5,8.8,8.9,0
Addressing,3+,223,13,214,5,10,16,17
City Light,2,76,5,19,7,9,12.2,32.9
Conveyance,3+,6,1,5,1,12,13.8,16.7
Zoning,1 (initial),1664,39,1654,8,18,26,90.4
Ordinance,1 (initial),168,35,166,7.5,21,35,91.1
Mechanical,1 (initial),15,3,15,29,47,50.2,100
Revegetation,3+,148,5,141,13,16,21,43.9
Shoring - Right of Way,1 (initial),21,2,2,5,6,6.6,76.2
Noise,3+,1,1,1,0,0,0,0
Structural Engineer,1 (initial),208,18,202,14,28,41,82.2
Energy,3+,498,11,493,7,13,17,23.1
Drainage,1 (initial),1063,12,1055,6,11,17,95.6
ECA GeoTech,1 (initial),281,7,261,14,24,36,89.7
Geo Soils,3+,212,9,210,14,23.8,31.2,44.8
Housing,1 (initial),259,7,11,22,24,31,30.9
ECA Riparian,2,6,3,6,9.5,15.3,33.5,33.3
Fire,2,201,8,192,8,15,23,34.3
Land Use,2,128,20,123,4,11.5,15.8,68.8
Transportation,3+,2,2,2,7,7,7,0
ECA Wetland,1 (initial),17,1,0,,,,41.2
Ordinance/Structural,2,1421,45,1417,5,10,15,36.9
Tree,3+,543,9,533,13,19,25.8,26.9
City Light,1 (initial),202,5,0,,,,32.7
Side Sewer Conflict,3+,11,5,8,2,7.8,13,27.3
Policy,1 (initial),3,2,3,10,13.5,15.6,100
Noise,2,3,1,3,5,6.5,7.4,33.3
Revegetation,2,98,5,81,14,19,23,54.1
Floodplain,1 (initial),2,2,2,44,44.5,44.8,50
Drainage,2,1219,13,1217,10,16,22,75
Structural Engineer,2,255,24,255,11,18,24.6,44.7
ECA GeoTech,2,314,10,313,19,27,34,87.6
Housing,2,161,7,155,12,16,22,28.6
ECA Riparian,1 (initial),10,3,0,,,,40
Parks,3+,1,1,0,,,,0
Energy,2,1236,11,1232,8,14,20,23.1
Geo Soils,2,95,9,92,16.5,25,34,82.1
Parks,1 (initial),11,4,0,,,,18.2
ECA Riparian,3+,11,2,8,28.5,42,44.4,36.4
Drainage,3+,2171,13,2158,7,14,21,45.9
Energy,1 (initial),1571,7,1551,7,27,42,67.8
ECA GeoTech,3+,674,12,670,14,22,30,48.2
Housing,3+,888,13,677,8,19,33,26
Structural Engineer,3+,283,24,279,8,14,20,35.3
Geo Soils,1 (initial),62,7,56,10.5,27,34,100
Parks,2,3,1,2,1.5,2.3,2.7,33.3
Mandatory Housing Affordability,1 (initial),291,25,286,9,19,29,86.9
Fire,3+,146,7,145,11,16,21,32.9
Land Use,3+,307,25,302,6,13,17,50.5
Shoring - Private Property,1 (initial),20,10,18,5.5,11.8,37.4,60
Transportation,2,2,2,2,4,6,7.2,100
ECA Wetland,3+,19,2,15,15,19.5,31.6,42.1
Mandatory Housing Affordability,2,333,24,333,10,14,18,76
Shoring - Private Property,2,22,10,22,6.5,14,17,40.9
Transportation,1 (initial),1,1,1,20,20,20,0
Zoning,3+,2169,43,2155,7,13,16,38.1
Ordinance,3+,296,39,291,8,15,20,37.2
Mechanical,3+,43,3,43,13,21,28.8,48.8
Revegetation,1 (initial),98,5,4,21.5,35.3,46.5,84.7
Policy,2,3,2,3,2,3,3.6,33.3
Shoring - Right of Way,3+,31,2,26,17.5,25,27,32.3
Noise,1 (initial),7,2,1,0,0,0,28.6
Floodplain,2,2,2,2,19.5,25.3,28.7,100
Fire,1 (initial),355,7,57,14,22,29,43.7
Mandatory Housing Affordability,3+,689,26,672,8,13,17,40.8
Shoring - Private Property,3+,25,11,24,4.5,7.3,8.7,28
Land Use,1 (initial),89,16,83,2,21.5,36.8,92.1
ECA Wetland,2,9,1,8,24.5,33.3,42.4,44.4
Addressing,2,878,15,873,7,13,18,16.9
Side Sewer Conflict,1 (initial),354,11,26,0,0,2.5,4.5
ECA Wildlife,2,13,2,13,8,13,13.8,15.4
Tree,1 (initial),877,8,807,20,35,49,80.4
City Light,3+,45,4,26,7.5,11,14,26.7
Conveyance,2,21,2,21,6,9,14,14.3
Shoreline,2,11,2,11,7,13.5,28,54.5
